,0,1,2,3,4
277,2.8198,49.8356,[0.00152726],2.8198_49.8356.tif,Ablaincourt-Pressoir
278,2.8142,49.8426,[0.00326761],2.8142_49.8426.tif,Ablaincourt-Pressoir
279,2.8156,49.8496,[8.542805e-09],2.8156_49.8496.tif,Ablaincourt-Pressoir
280,2.8156,49.8426,[0.00200729],2.8156_49.8426.tif,Ablaincourt-Pressoir
281,2.8212,49.8356,[0.00023117],2.8212_49.8356.tif,Ablaincourt-Pressoir
282,2.817,49.8496,[8.620821e-06],2.817_49.8496.tif,Ablaincourt-Pressoir
283,2.8226,49.8356,[8.736668e-05],2.8226_49.8356.tif,Ablaincourt-Pressoir
284,2.817,49.8426,[0.00180234],2.817_49.8426.tif,Ablaincourt-Pressoir
285,2.8184,49.8496,[0.00216049],2.8184_49.8496.tif,Ablaincourt-Pressoir
286,2.824,49.8356,[0.00040688],2.824_49.8356.tif,Ablaincourt-Pressoir
287,2.8184,49.8426,[0.0891786],2.8184_49.8426.tif,Ablaincourt-Pressoir
288,2.8198,49.8496,[0.00202744],2.8198_49.8496.tif,Ablaincourt-Pressoir
289,2.8254,49.8356,[0.00137278],2.8254_49.8356.tif,Ablaincourt-Pressoir
290,2.8198,49.8426,[9.026584e-05],2.8198_49.8426.tif,Ablaincourt-Pressoir
291,2.8212,49.8496,[0.00287552],2.8212_49.8496.tif,Ablaincourt-Pressoir
292,2.8268,49.8356,[0.00598614],2.8268_49.8356.tif,Ablaincourt-Pressoir
293,2.8212,49.8426,[0.00253828],2.8212_49.8426.tif,Ablaincourt-Pressoir
294,2.8226,49.8496,[0.00385529],2.8226_49.8496.tif,Ablaincourt-Pressoir
295,2.8282,49.8356,[8.814005e-05],2.8282_49.8356.tif,Ablaincourt-Pressoir
296,2.8226,49.8426,[0.00134898],2.8226_49.8426.tif,Ablaincourt-Pressoir
297,2.824,49.8496,[0.00351972],2.824_49.8496.tif,Ablaincourt-Pressoir
298,2.8296,49.8356,[1.7980261e-05],2.8296_49.8356.tif,Ablaincourt-Pressoir
299,2.824,49.8426,[0.00061196],2.824_49.8426.tif,Ablaincourt-Pressoir
300,2.8254,49.8496,[0.00186249],2.8254_49.8496.tif,Ablaincourt-Pressoir
301,2.831,49.8356,[0.00096533],2.831_49.8356.tif,Ablaincourt-Pressoir
302,2.8254,49.8426,[0.00030078],2.8254_49.8426.tif,Ablaincourt-Pressoir
303,2.8268,49.8496,[0.0023522],2.8268_49.8496.tif,Ablaincourt-Pressoir
304,2.8324,49.8356,[0.00125648],2.8324_49.8356.tif,Ablaincourt-Pressoir
305,2.8268,49.8426,[0.00122816],2.8268_49.8426.tif,Ablaincourt-Pressoir
